Country,Year,Industry,AI Adoption Rate (%),AI-Generated Content Volume (TBs per year),Job Loss Due to AI (%),Revenue Increase Due to AI (%),Human-AI Collaboration Rate (%),Top AI Tools Used,Regulation Status,Consumer Trust in AI (%),Market Share of AI Companies (%),AI Impact Description,yearly_change_%,is_growing_trend,impact_summary,text_profile
UK,2022,Automotive,80.83,67.55,42.39,51.87,74.39,Synthesia,Strict,33.56,21.66,No description available.,183.813202247191,False,"Industry: Automotive, Year: 2022, AI Adoption Rate: 80.83%, Description: No description available.","In 2022, within the Automotive sector, the AI usage reached 80.83%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 183.813202247191% change. The trend is currently declining."
China,2022,Automotive,46.72,85.74,15.77,75.69,38.2,ChatGPT,Lenient,83.61,33.06,No description available.,-42.19967833725102,False,"Industry: Automotive, Year: 2022, AI Adoption Rate: 46.72%, Description: No description available.","In 2022, within the Automotive sector, the AI usage reached 46.72%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -42.19967833725102% change. The trend is currently declining."
UK,2022,Automotive,11.99,28.0,21.71,5.14,66.59,DALL-E,Lenient,41.71,5.19,No description available.,-74.33647260273972,False,"Industry: Automotive, Year: 2022, AI Adoption Rate: 11.99%, Description: No description available.","In 2022, within the Automotive sector, the AI usage reached 11.99%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -74.33647260273972% change. The trend is currently declining."
Canada,2022,Automotive,11.14,28.47,43.11,50.61,78.2,Synthesia,Lenient,81.93,47.32,No description available.,-7.08924103419516,False,"Industry: Automotive, Year: 2022, AI Adoption Rate: 11.14%, Description: No description available.","In 2022, within the Automotive sector, the AI usage reached 11.14%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -7.08924103419516% change. The trend is currently declining."
Australia,2023,Automotive,45.35,20.49,33.21,50.5,41.73,Claude,Strict,47.42,43.11,No description available.,307.0915619389587,False,"Industry: Automotive, Year: 2023, AI Adoption Rate: 45.35%, Description: No description available.","In 2023, within the Automotive sector, the AI usage reached 45.35%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 307.0915619389587% change. The trend is currently declining."
Australia,2024,Automotive,78.21,33.34,6.54,76.76,87.8,Claude,Strict,71.22,49.04,No description available.,72.45865490628442,False,"Industry: Automotive, Year: 2024, AI Adoption Rate: 78.21%, Description: No description available.","In 2024, within the Automotive sector, the AI usage reached 78.21%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 72.45865490628442% change. The trend is currently declining."
France,2024,Automotive,15.77,23.95,7.51,43.32,36.55,ChatGPT,Strict,60.71,48.02,No description available.,-79.83633806418617,False,"Industry: Automotive, Year: 2024, AI Adoption Rate: 15.77%, Description: No description available.","In 2024, within the Automotive sector, the AI usage reached 15.77%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -79.83633806418617% change. The trend is currently declining."
UK,2024,Automotive,82.54,71.06,44.65,28.93,39.83,DALL-E,Lenient,33.51,49.28,No description available.,423.3988585922639,False,"Industry: Automotive, Year: 2024, AI Adoption Rate: 82.54%, Description: No description available.","In 2024, within the Automotive sector, the AI usage reached 82.54%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 423.3988585922639% change. The trend is currently declining."
Japan,2025,Automotive,92.96,44.86,14.64,25.17,68.19,Midjourney,Strict,76.16,9.47,No description available.,12.624182214683778,False,"Industry: Automotive, Year: 2025, AI Adoption Rate: 92.96%, Description: No description available.","In 2025, within the Automotive sector, the AI usage reached 92.96%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 12.624182214683778% change. The trend is currently declining."
China,2020,Education,70.7,94.67,37.59,44.7,78.66,ChatGPT,Lenient,64.86,3.86,No description available.,,False,"Industry: Education, Year: 2020, AI Adoption Rate: 70.7%, Description: No description available.","In 2020, within the Education sector, the AI usage reached 70.7%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a N/A% change. The trend is currently declining."
UK,2020,Education,70.59,64.57,23.88,69.35,55.02,Claude,Lenient,89.88,4.47,No description available.,-0.15558698727015097,False,"Industry: Education, Year: 2020, AI Adoption Rate: 70.59%, Description: No description available.","In 2020, within the Education sector, the AI usage reached 70.59%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -0.15558698727015097% change. The trend is currently declining."
South Korea,2020,Education,43.12,42.47,17.26,26.12,38.6,ChatGPT,Moderate,65.57,10.43,No description available.,-38.914860461821796,False,"Industry: Education, Year: 2020, AI Adoption Rate: 43.12%, Description: No description available.","In 2020, within the Education sector, the AI usage reached 43.12%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -38.914860461821796% change. The trend is currently declining."
UK,2020,Education,67.49,35.37,37.69,49.79,53.15,Stable Diffusion,Moderate,35.56,47.38,No description available.,56.51669758812616,False,"Industry: Education, Year: 2020, AI Adoption Rate: 67.49%, Description: No description available.","In 2020, within the Education sector, the AI usage reached 67.49%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 56.51669758812616% change. The trend is currently declining."
India,2020,Education,70.48,19.97,33.75,15.07,64.12,Stable Diffusion,Moderate,48.13,40.32,No description available.,4.430285968291603,False,"Industry: Education, Year: 2020, AI Adoption Rate: 70.48%, Description: No description available.","In 2020, within the Education sector, the AI usage reached 70.48%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 4.430285968291603% change. The trend is currently declining."
Canada,2020,Education,60.69,56.38,29.34,28.55,39.5,Claude,Strict,30.81,3.26,No description available.,-13.890465380249728,False,"Industry: Education, Year: 2020, AI Adoption Rate: 60.69%, Description: No description available.","In 2020, within the Education sector, the AI usage reached 60.69%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -13.890465380249728% change. The trend is currently declining."
Japan,2021,Education,38.42,40.78,23.06,58.05,81.05,ChatGPT,Strict,80.19,25.28,No description available.,-36.69467787114845,False,"Industry: Education, Year: 2021, AI Adoption Rate: 38.42%, Description: No description available.","In 2021, within the Education sector, the AI usage reached 38.42%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -36.69467787114845% change. The trend is currently declining."
India,2021,Education,63.04,82.49,6.68,50.72,81.71,DALL-E,Lenient,33.36,38.6,No description available.,64.08120770432066,False,"Industry: Education, Year: 2021, AI Adoption Rate: 63.04%, Description: No description available.","In 2021, within the Education sector, the AI usage reached 63.04%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 64.08120770432066% change. The trend is currently declining."
USA,2021,Education,73.11,98.77,38.22,67.17,87.65,Synthesia,Lenient,31.54,31.14,No description available.,15.973984771573612,False,"Industry: Education, Year: 2021, AI Adoption Rate: 73.11%, Description: No description available.","In 2021, within the Education sector, the AI usage reached 73.11%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 15.973984771573612% change. The trend is currently declining."
USA,2021,Education,87.79,40.86,28.82,74.04,70.58,Stable Diffusion,Strict,60.03,12.22,No description available.,20.079332512652172,True,"Industry: Education, Year: 2021, AI Adoption Rate: 87.79%, Description: No description available.","In 2021, within the Education sector, the AI usage reached 87.79%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 20.079332512652172% change. The trend is currently growing."
UK,2021,Education,21.57,77.01,32.52,13.61,37.65,ChatGPT,Strict,33.61,18.87,No description available.,-75.4300034172457,False,"Industry: Education, Year: 2021, AI Adoption Rate: 21.57%, Description: No description available.","In 2021, within the Education sector, the AI usage reached 21.57%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -75.4300034172457% change. The trend is currently declining."
Germany,2021,Education,45.09,11.8,27.79,0.14,39.09,Bard,Strict,50.81,20.61,No description available.,109.0403337969402,False,"Industry: Education, Year: 2021, AI Adoption Rate: 45.09%, Description: No description available.","In 2021, within the Education sector, the AI usage reached 45.09%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 109.0403337969402% change. The trend is currently declining."
Germany,2022,Education,43.85,52.54,32.07,73.68,74.08,Stable Diffusion,Strict,56.79,25.07,No description available.,-2.750055444666233,False,"Industry: Education, Year: 2022, AI Adoption Rate: 43.85%, Description: No description available.","In 2022, within the Education sector, the AI usage reached 43.85%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -2.750055444666233% change. The trend is currently declining."
UK,2023,Education,82.82,75.53,22.34,1.44,40.39,Midjourney,Strict,36.48,17.29,No description available.,88.87115165336373,False,"Industry: Education, Year: 2023, AI Adoption Rate: 82.82%, Description: No description available.","In 2023, within the Education sector, the AI usage reached 82.82%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 88.87115165336373% change. The trend is currently declining."
Canada,2025,Education,17.02,87.77,4.59,52.45,64.72,Claude,Moderate,60.55,22.7,No description available.,-79.4494083554697,False,"Industry: Education, Year: 2025, AI Adoption Rate: 17.02%, Description: No description available.","In 2025, within the Education sector, the AI usage reached 17.02%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -79.4494083554697% change. The trend is currently declining."
India,2025,Education,67.08,80.64,26.79,15.7,59.71,Bard,Strict,53.86,46.63,No description available.,294.12455934195066,False,"Industry: Education, Year: 2025, AI Adoption Rate: 67.08%, Description: No description available.","In 2025, within the Education sector, the AI usage reached 67.08%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 294.12455934195066% change. The trend is currently declining."
India,2025,Education,46.62,72.37,22.03,31.66,35.21,Synthesia,Lenient,46.02,20.08,No description available.,-30.50089445438283,False,"Industry: Education, Year: 2025, AI Adoption Rate: 46.62%, Description: No description available.","In 2025, within the Education sector, the AI usage reached 46.62%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -30.50089445438283% change. The trend is currently declining."
Germany,2020,Finance,71.9,21.66,37.69,28.02,26.7,Midjourney,Moderate,40.8,37.87,No description available.,,False,"Industry: Finance, Year: 2020, AI Adoption Rate: 71.9%, Description: No description available.","In 2020, within the Finance sector, the AI usage reached 71.9%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a N/A% change. The trend is currently declining."
South Korea,2020,Finance,18.91,57.4,40.53,49.28,82.93,Midjourney,Strict,68.44,12.68,No description available.,-73.69958275382476,False,"Industry: Finance, Year: 2020, AI Adoption Rate: 18.91%, Description: No description available.","In 2020, within the Finance sector, the AI usage reached 18.91%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -73.69958275382476% change. The trend is currently declining."
Australia,2020,Finance,69.67,47.75,27.81,55.74,74.99,Synthesia,Moderate,68.67,9.18,No description available.,268.4294024325754,False,"Industry: Finance, Year: 2020, AI Adoption Rate: 69.67%, Description: No description available.","In 2020, within the Finance sector, the AI usage reached 69.67%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 268.4294024325754% change. The trend is currently declining."
UK,2020,Finance,88.23,20.18,17.85,10.99,85.27,Claude,Moderate,32.96,32.23,No description available.,26.639873690254067,False,"Industry: Finance, Year: 2020, AI Adoption Rate: 88.23%, Description: No description available.","In 2020, within the Finance sector, the AI usage reached 88.23%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 26.639873690254067% change. The trend is currently declining."
USA,2020,Finance,36.52,4.2,25.53,71.01,21.92,Bard,Moderate,84.9,29.93,No description available.,-58.60818315765612,False,"Industry: Finance, Year: 2020, AI Adoption Rate: 36.52%, Description: No description available.","In 2020, within the Finance sector, the AI usage reached 36.52%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -58.60818315765612% change. The trend is currently declining."
China,2021,Finance,14.76,58.35,39.61,76.52,36.03,Synthesia,Lenient,81.84,22.64,No description available.,-59.58378970427163,False,"Industry: Finance, Year: 2021, AI Adoption Rate: 14.76%, Description: No description available.","In 2021, within the Finance sector, the AI usage reached 14.76%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -59.58378970427163% change. The trend is currently declining."
Germany,2022,Finance,87.95,12.55,12.61,3.82,25.44,Claude,Lenient,34.37,31.99,No description available.,495.8672086720868,False,"Industry: Finance, Year: 2022, AI Adoption Rate: 87.95%, Description: No description available.","In 2022, within the Finance sector, the AI usage reached 87.95%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 495.8672086720868% change. The trend is currently declining."
China,2022,Finance,39.48,63.35,25.56,55.14,20.82,Midjourney,Lenient,42.94,36.32,No description available.,-55.11085844229676,False,"Industry: Finance, Year: 2022, AI Adoption Rate: 39.48%, Description: No description available.","In 2022, within the Finance sector, the AI usage reached 39.48%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -55.11085844229676% change. The trend is currently declining."
USA,2023,Finance,83.2,4.85,40.84,22.58,82.54,Bard,Moderate,76.14,35.3,No description available.,110.73961499493419,False,"Industry: Finance, Year: 2023, AI Adoption Rate: 83.2%, Description: No description available.","In 2023, within the Finance sector, the AI usage reached 83.2%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 110.73961499493419% change. The trend is currently declining."
South Korea,2023,Finance,83.74,19.68,33.55,1.75,64.79,ChatGPT,Moderate,70.63,46.78,No description available.,0.6490384615384537,False,"Industry: Finance, Year: 2023, AI Adoption Rate: 83.74%, Description: No description available.","In 2023, within the Finance sector, the AI usage reached 83.74%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 0.6490384615384537% change. The trend is currently declining."
China,2023,Finance,27.02,8.68,25.44,8.51,68.6,Midjourney,Strict,84.37,14.69,No description available.,-67.73346071172676,False,"Industry: Finance, Year: 2023, AI Adoption Rate: 27.02%, Description: No description available.","In 2023, within the Finance sector, the AI usage reached 27.02%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -67.73346071172676% change. The trend is currently declining."
India,2024,Finance,50.27,17.89,6.51,30.02,20.76,Claude,Moderate,32.28,26.84,No description available.,86.04737231680237,False,"Industry: Finance, Year: 2024, AI Adoption Rate: 50.27%, Description: No description available.","In 2024, within the Finance sector, the AI usage reached 50.27%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 86.04737231680237% change. The trend is currently declining."
France,2024,Finance,73.22,94.47,26.42,28.86,57.06,Stable Diffusion,Strict,30.17,48.56,No description available.,45.65347125522179,False,"Industry: Finance, Year: 2024, AI Adoption Rate: 73.22%, Description: No description available.","In 2024, within the Finance sector, the AI usage reached 73.22%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 45.65347125522179% change. The trend is currently declining."
Australia,2025,Finance,35.83,94.62,29.11,65.36,82.68,Stable Diffusion,Lenient,38.02,20.93,No description available.,-51.06528270964217,False,"Industry: Finance, Year: 2025, AI Adoption Rate: 35.83%, Description: No description available.","In 2025, within the Finance sector, the AI usage reached 35.83%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -51.06528270964217% change. The trend is currently declining."
Canada,2020,Gaming,50.97,16.05,46.78,62.71,68.18,Synthesia,Strict,60.09,31.02,No description available.,,False,"Industry: Gaming, Year: 2020, AI Adoption Rate: 50.97%, Description: No description available.","In 2020, within the Gaming sector, the AI usage reached 50.97%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a N/A% change. The trend is currently declining."
France,2021,Gaming,78.95,45.62,17.45,1.05,21.7,Midjourney,Strict,41.77,21.41,No description available.,54.89503629586032,False,"Industry: Gaming, Year: 2021, AI Adoption Rate: 78.95%, Description: No description available.","In 2021, within the Gaming sector, the AI usage reached 78.95%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 54.89503629586032% change. The trend is currently declining."
Australia,2021,Gaming,76.22,75.93,43.3,10.63,61.88,DALL-E,Moderate,65.57,6.82,No description available.,-3.4578847371754318,False,"Industry: Gaming, Year: 2021, AI Adoption Rate: 76.22%, Description: No description available.","In 2021, within the Gaming sector, the AI usage reached 76.22%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -3.4578847371754318% change. The trend is currently declining."
China,2021,Gaming,13.9,51.2,49.71,0.57,65.4,Stable Diffusion,Moderate,68.69,38.59,No description available.,-81.76331671477303,False,"Industry: Gaming, Year: 2021, AI Adoption Rate: 13.9%, Description: No description available.","In 2021, within the Gaming sector, the AI usage reached 13.9%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -81.76331671477303% change. The trend is currently declining."
UK,2021,Gaming,88.38,12.43,23.7,52.51,59.75,Stable Diffusion,Moderate,54.27,48.93,No description available.,535.8273381294963,False,"Industry: Gaming, Year: 2021, AI Adoption Rate: 88.38%, Description: No description available.","In 2021, within the Gaming sector, the AI usage reached 88.38%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 535.8273381294963% change. The trend is currently declining."
USA,2021,Gaming,67.18,7.92,40.55,52.54,50.3,Synthesia,Moderate,73.15,8.66,No description available.,-23.987327449649232,False,"Industry: Gaming, Year: 2021, AI Adoption Rate: 67.18%, Description: No description available.","In 2021, within the Gaming sector, the AI usage reached 67.18%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -23.987327449649232% change. The trend is currently declining."
France,2021,Gaming,54.67,64.1,38.29,27.12,24.78,Stable Diffusion,Moderate,75.6,32.81,No description available.,-18.6216135754689,False,"Industry: Gaming, Year: 2021, AI Adoption Rate: 54.67%, Description: No description available.","In 2021, within the Gaming sector, the AI usage reached 54.67%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -18.6216135754689% change. The trend is currently declining."
Australia,2022,Gaming,89.96,80.3,25.11,74.04,51.67,Claude,Strict,78.51,17.66,No description available.,64.55094201573073,False,"Industry: Gaming, Year: 2022, AI Adoption Rate: 89.96%, Description: No description available.","In 2022, within the Gaming sector, the AI usage reached 89.96%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 64.55094201573073% change. The trend is currently declining."
USA,2022,Gaming,93.0,42.7,12.92,55.65,51.0,ChatGPT,Lenient,47.34,21.16,No description available.,3.3792796798577163,False,"Industry: Gaming, Year: 2022, AI Adoption Rate: 93.0%, Description: No description available.","In 2022, within the Gaming sector, the AI usage reached 93.0%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 3.3792796798577163% change. The trend is currently declining."
UK,2022,Gaming,89.74,15.64,10.14,3.8,33.44,Midjourney,Moderate,42.99,32.23,No description available.,-3.505376344086031,False,"Industry: Gaming, Year: 2022, AI Adoption Rate: 89.74%, Description: No description available.","In 2022, within the Gaming sector, the AI usage reached 89.74%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -3.505376344086031% change. The trend is currently declining."
South Korea,2022,Gaming,74.66,26.14,8.89,6.35,58.99,Claude,Lenient,83.38,29.08,No description available.,-16.804100735457993,False,"Industry: Gaming, Year: 2022, AI Adoption Rate: 74.66%, Description: No description available.","In 2022, within the Gaming sector, the AI usage reached 74.66%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -16.804100735457993% change. The trend is currently declining."
UK,2022,Gaming,30.18,97.54,18.39,14.76,49.67,Midjourney,Moderate,89.76,12.56,No description available.,-59.57674792392178,False,"Industry: Gaming, Year: 2022, AI Adoption Rate: 30.18%, Description: No description available.","In 2022, within the Gaming sector, the AI usage reached 30.18%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -59.57674792392178% change. The trend is currently declining."
UK,2023,Gaming,91.27,33.87,41.67,56.26,59.93,ChatGPT,Moderate,46.98,28.51,No description available.,202.4188204108681,False,"Industry: Gaming, Year: 2023, AI Adoption Rate: 91.27%, Description: No description available.","In 2023, within the Gaming sector, the AI usage reached 91.27%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 202.4188204108681% change. The trend is currently declining."
India,2023,Gaming,39.04,78.44,31.32,28.93,77.95,ChatGPT,Strict,39.63,22.79,No description available.,-57.22581352032431,False,"Industry: Gaming, Year: 2023, AI Adoption Rate: 39.04%, Description: No description available.","In 2023, within the Gaming sector, the AI usage reached 39.04%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -57.22581352032431% change. The trend is currently declining."
Germany,2023,Gaming,77.96,69.51,21.76,41.93,56.36,Bard,Strict,69.0,39.55,No description available.,99.69262295081967,False,"Industry: Gaming, Year: 2023, AI Adoption Rate: 77.96%, Description: No description available.","In 2023, within the Gaming sector, the AI usage reached 77.96%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 99.69262295081967% change. The trend is currently declining."
Canada,2023,Gaming,31.96,49.43,28.25,56.09,79.12,Midjourney,Strict,69.59,21.86,No description available.,-59.004617752693676,False,"Industry: Gaming, Year: 2023, AI Adoption Rate: 31.96%, Description: No description available.","In 2023, within the Gaming sector, the AI usage reached 31.96%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -59.004617752693676% change. The trend is currently declining."
UK,2024,Gaming,77.52,3.4,14.58,67.9,66.23,DALL-E,Moderate,31.46,41.11,No description available.,142.55319148936167,False,"Industry: Gaming, Year: 2024, AI Adoption Rate: 77.52%, Description: No description available.","In 2024, within the Gaming sector, the AI usage reached 77.52%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 142.55319148936167% change. The trend is currently declining."
France,2024,Gaming,27.95,71.37,49.33,0.93,53.7,Stable Diffusion,Moderate,87.06,20.68,No description available.,-63.94478844169247,False,"Industry: Gaming, Year: 2024, AI Adoption Rate: 27.95%, Description: No description available.","In 2024, within the Gaming sector, the AI usage reached 27.95%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -63.94478844169247% change. The trend is currently declining."
India,2024,Gaming,44.17,82.35,42.79,49.74,74.11,Bard,Lenient,81.95,2.49,No description available.,58.03220035778176,False,"Industry: Gaming, Year: 2024, AI Adoption Rate: 44.17%, Description: No description available.","In 2024, within the Gaming sector, the AI usage reached 44.17%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 58.03220035778176% change. The trend is currently declining."
USA,2025,Gaming,49.71,50.19,14.09,12.41,40.18,Stable Diffusion,Moderate,57.05,5.76,No description available.,12.542449626443286,False,"Industry: Gaming, Year: 2025, AI Adoption Rate: 49.71%, Description: No description available.","In 2025, within the Gaming sector, the AI usage reached 49.71%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 12.542449626443286% change. The trend is currently declining."
Canada,2025,Gaming,94.76,17.58,14.48,71.63,67.44,Midjourney,Strict,71.96,34.65,No description available.,90.62562864614767,True,"Industry: Gaming, Year: 2025, AI Adoption Rate: 94.76%, Description: No description available.","In 2025, within the Gaming sector, the AI usage reached 94.76%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 90.62562864614767% change. The trend is currently growing."
India,2025,Gaming,16.79,8.5,28.43,65.47,23.38,Synthesia,Moderate,59.92,16.4,No description available.,-82.28155339805825,False,"Industry: Gaming, Year: 2025, AI Adoption Rate: 16.79%, Description: No description available.","In 2025, within the Gaming sector, the AI usage reached 16.79%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -82.28155339805825% change. The trend is currently declining."
Australia,2025,Gaming,62.64,61.24,37.25,43.72,20.21,Claude,Lenient,79.68,47.08,No description available.,273.07921381774867,False,"Industry: Gaming, Year: 2025, AI Adoption Rate: 62.64%, Description: No description available.","In 2025, within the Gaming sector, the AI usage reached 62.64%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a 273.07921381774867% change. The trend is currently declining."
UK,2025,Gaming,28.27,3.98,3.19,6.12,49.89,Midjourney,Lenient,54.77,4.4,No description available.,-54.8690932311622,False,"Industry: Gaming, Year: 2025, AI Adoption Rate: 28.27%, Description: No description available.","In 2025, within the Gaming sector, the AI usage reached 28.27%. The overall impact of AI is described as: 'No description available.'. Compared to previous years, this represents a -54.8690932311622% change. The trend is currently declining."
